Афганистан Кабул afghanistan
Албания Тирана albania
Андорра Андорра-ла-Велья andorra
Ангола Луанда angola
Аргентина Буэнос-Айрес argentina
Армения Ереван armenia
Австралия Канберра australia
Австрия Вена austria
Азербайджан Баку azerbaijan
Багамы Нассау bahamas
Бахрейн Манама bahrain
Бангладеш Дакка bangladesh
Барбадос Бриджтаун barbados
Белоруссия Минск belarus
Бельгия Брюссель belgium
Белиз Бельмопан belize
Бенин Порто-Ново benin
Боливия Сукре bolivia
Ботсвана Габороне botswana
Бразилия Бразилиа brazil
Бруней Бандар-Сери-Бегаван brunei
Болгария София bulgaria
Буркина-Фасо Уагадугу burkina_faso
Бурунди Бужумбура burundi
Камбоджа Пномпень cambodia
Камерун Яунде cameroon
Канада Оттава canada
Чад Нджамена chad
Чили Сантьяго chile
Китай Пекин china
Колумбия Богота colombia
Коморы Морони comoros
Коста-Рика Сан-Хосе costa_rica
Куба Гавана cuba
Джибути Джибути djibouti
Доминика Розо dominica
Египет Каир egypt
Великобритания Лондон great_britain
Эквадор Кито equador
Эритрея Асмэра eritrea
Эстония Таллин estonia
Эфиопия Аддис-Абеба ethiopia
Фиджи Сува fiji
Финляндия Хельсинки finland
Франция Париж france
Габон Либревиль gabon
Гамбия Банжул gambia
Германия Берлин germany
Гана Аккра ghana
Греция Афины greece
Гренада Сент-Джорджес grenada
Гватемала Гватемала guatemala
Гвинея Конакри guinea
Гвинея-Бисау Бисау guinea_bissau
Гаити Порт-о-Пренс haiti
Гондурас Тегусигальпа honduras
Исландия Рейкьявик iceland
Индия Дели india
Индонезия Джакарта indonesia
Ирак Багдад iraq
Иран Тегеран iran
Ирландия Дублин ireland
Израиль Иерусалим israel
Италия Рим italy
Ямайка Кингстон jamaica
Япония Токио japan
Казахстан Астана kazakhstan
Кения Найроби kenya
Кувейт Эль-Кувейт kuwait
Лаос Вьентьян laos
Латвия Рига latvia
Лесото Масеру lesotho
Либерия Монровия liberia
Лихтенштейн Вадуц liechtenstein
Литва Вильнюс lithuania
Люксембург Люксембург luxembourg
Македония Скопье macedonia
Мадагаскар Антананариву madagascar
Малави Лилонгве malawi
Малайзия Куала-Лумпур malaysia
Мальдивы Мале maledives
Мали Бамако mali
Мальта Валлетта malta
Мавритания Нуакшот mauretania
Мексика Мехико mexico
Микронезия Паликир micronesia
Молдавия Кишинёв moldova
Монако Монако monaco
Монголия Улан-Батор mongolia
Марокко Рабат morocco
Мозамбик Мапуту mozambique
Намибия Виндхук namibia
Непал Катманду nepal
Нидерланды Амстердам netherlands
Никарагуа Манагуа nicaragua
Нигер Ниамей niger
Нигерия Абуджа nigeria
Норвегия Осло norway
Оман Маскат oman
Пакистан Исламабад pakistan
Палау Нгерулмуд palau
Панама Панама panama
Парагвай Асунсьон paraquay
Перу Лима peru
Филиппины Манила philippines
Польша Варшава poland
Португалия Лиссабон portugal
Катар Доха qatar
Румыния Бухарест romania
Россия Москва russia
Руанда Кигали rwanda
Самоа Апиа samoa
Сенегал Дакар senegal
Сингапур Сингапур singapore
Словакия Братислава slovakia
Словения Любляна slovenia
Сомали Могадишо somalia
Испания Мадрид spain
Шри-Ланка Шри-Джаяварденепура-Котте sri_lanka
Судан Хартум sudan
Суринам Парамарибо suriname
Свазиленд Мбабане swaziland
Сирия Дамаск syria
Таджикистан Душанбе tajikistan
Танзания Додома tanzania
Таиланд Бангкок thailand
Того Ломе togo
Тонга Нукуалофа tonga
Тунис Тунис tunisia
Турция Анкара turkey
Туркмения Ашхабад turkmenistan
Тувалу Фунафути tuvalu
Уганда Кампала uganda
Украина Киев ukraine
Уругвай Монтевидео uruquay
США Вашингтон usa
Узбекистан Ташкент uzbekistan
Вануату Порт-Вила vanuatu
Ватикан Ватикан vatican_city
Венесуэла Каракас venezuela
Вьетнам Ханой vietnam
Йемен Сана yemen
Замбия Лусака zambia
Зимбабве Хараре zimbabwe
